state,undisbursed_percent
IL,15.460288808664261
GA,13.728144388042866
CA,13.579268982686433
TX,13.664928466372508
FL,11.422876418276601
NY,15.412558380902958
OH,13.559322033898304
MI,14.947735191637632
LA,15.86303284416492
TN,15.727124183006536
